#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
8299.999999855934,-14656.51789021073,2578.200294278079,284.87480125371974,10.914682873869754,0.9975112852135194
8399.999999876307,-14293.30578132315,2749.527328909092,303.805353332322,10.870215286195046,1.0015918778571697
8499.99999989668,-14255.918745508898,2696.1560101367363,297.90816068143795,10.724885679880614,1.0151641393843747
8599.999999917052,-14389.706583018844,2829.4529286116403,312.6366258214609,10.862102049359098,1.0023399975195602
8699.999999937425,-14177.057093970157,2699.084100559304,298.23169612553556,10.845515137177749,1.0038729561023867
8799.999999957798,-14170.66796307009,2695.75922296363,297.8643182122048,10.902279042297407,0.9986461820479611
8899.99999997817,-14250.500647531167,2743.228839949818,303.1094101992559,10.839454368052117,1.00443426131313
8999.999999998543,-14278.293844007974,2657.931566590422,293.6846017971817,10.866672300071382,1.0019184383742104
9100.000000018916,-14311.221592514572,2691.081325375534,297.3474401602352,10.77623764891175,1.0103265811246558
9200.000000039288,-14493.728056503598,2753.9276247566263,304.2915581503906,10.749452430725123,1.0128440877687916
9300.000000059661,-14199.868538652838,2730.171061857093,301.6666084327539,11.085361756795407,0.9821528228014462
9400.000000080034,-14480.384515471334,2679.1687523565306,296.0311763002315,10.92344359584329,0.9967112701854245
9500.000000100406,-14344.540084958746,2790.709572754155,308.35573041380064,11.172642559257834,0.9744802345072995
9600.000000120779,-14306.120402443157,2595.4496522245636,286.7807460430616,10.928861806087081,0.9962171298705371
9700.000000141152,-14375.344398604997,2817.724334609255,311.34069047740314,11.024626264696058,0.9875635762889028
9800.000000161524,-14061.941581575345,2613.3081157646593,288.7539931421999,10.97021029966148,0.9924622266856431
9900.000000181897,-14233.855992577017,2611.775711470701,288.58467217452693,11.076758474912705,0.9829156576692093
10000.00000020227,-14426.491494194168,2896.4024209593617,320.03412064330325,10.988335295617926,0.9908251840070514
10100.000000222642,-14413.126394334919,2781.443654879457,307.3319051823607,10.66256452577792,1.0210976275819983
10200.000000243015,-14396.576619724627,2614.538019523841,288.88988971692896,11.062628573482503,0.9841711008276608
10300.000000263388,-14182.568978495314,2791.517384896932,308.4449885385999,10.911396162794357,0.9978117537640174
10400.00000028376,-14136.48263705903,2674.9077191863935,295.5603591258745,11.113961380211911,0.9796254430572994
10500.000000304133,-14129.909722186814,2560.6997039935886,282.9410968824257,11.314246012487533,0.9622841265069941
10600.000000324506,-14346.012140800434,2693.663382386492,297.63274110425215,10.774692852918621,1.0104714342982524
10700.000000344879,-14202.580929884061,2733.846714142718,302.072744727389,10.78154258353379,1.0098294614946726
10800.000000365251,-14359.090991087658,2695.443706288236,297.82945561817195,10.655392923792807,1.0217848763606527
10900.000000385624,-14454.646975408301,2692.575692356411,297.51255824575486,10.93353375258605,0.9957914419605319
11000.000000405997,-14284.374822078113,2558.8469119382908,282.73637509657806,10.918426023808296,0.9971693097036979
11100.00000042637,-14207.39285694612,2603.264998792444,287.64429233354764,10.929176807382483,0.996188416849242
11200.000000446742,-14334.993998496677,2805.452957803804,309.98478107179153,11.113679136993873,0.979650321644679
11300.000000467115,-14146.190696302016,2869.3722839851657,317.04746172643235,10.821507535913529,1.0061000563072384
11400.000000487487,-14320.436717907272,2608.4643468178965,288.2187873557873,10.824994436907522,1.0057759756523392
11500.00000050786,-14177.558476975639,2918.932968477071,322.52360342727843,10.912381868835721,0.9977216222889964
11600.000000528233,-14415.10076023596,2715.620978718187,300.05891641145513,10.811139851095419,1.0070648878072417
11700.000000548605,-14148.25525005268,2710.5841040468395,299.50237366567836,10.871646503225572,1.0014600215322975
11800.000000568978,-14343.424810843557,2855.6294467243592,315.52896526127284,11.070772043752857,0.9834471614249832
11900.00000058935,-14201.94860743291,2822.438994899746,311.8616305751191,10.946637276501455,0.9945994432996741
12000.000000609723,-14189.218871303405,2686.1884210322632,296.80680522375013,10.853299825498086,1.0031529135160653
12100.000000630096,-14294.57972146765,2777.890705926945,306.93932682878676,11.000260504802583,0.9897510460282687
12200.000000650469,-14222.36031520625,2797.8682668301653,309.1467207634122,10.902979953323026,0.998581982891154
12300.000000670841,-14236.2137767526,2623.6170575111228,289.89306590457505,10.907166720165515,0.998198672537261
12400.000000691214,-14274.15440367091,2721.908199360829,300.75361446691113,10.757622850939686,1.0120748321513033
12500.000000711587,-14277.521472147004,2744.702652604969,303.27225716198143,10.826894596638981,1.0055994582778747
12600.00000073196,-14413.79887175365,2761.1176110887673,305.086006096088,11.03433239057858,0.9866948860909678
12700.000000752332,-14373.009534811637,2692.975442595443,297.55672811500364,11.019811086563472,0.9879950986171652
12800.000000772705,-14222.90739341254,2740.7768585246063,302.83848178351747,11.137472731180896,0.9775574409022516
12900.000000793078,-14376.417130844486,2601.210767949491,287.41731283765114,11.039834838867124,0.9862030999667614
13000.00000081345,-14350.49160119846,2843.454770374513,314.18374064346943,10.79719964828697,1.0083651035330414
13100.000000833823,-14415.699992718619,2767.5816994512124,305.80024691423733,10.617808408297256,1.0254017517121317
13200.000000854196,-14073.425307640064,2853.686554058973,315.31428792874067,11.000229666047272,0.9897538207603656
13300.000000874568,-14418.744653375892,2796.153114488125,308.95720729401927,10.869450694583046,1.0016623330043504
13400.000000894941,-14136.116830278916,2719.061071674785,300.4390248923518,10.882887265784587,1.0004256292759537
13500.000000915314,-14314.44532055447,2788.8591249394462,308.1512676516889,10.85269131178939,1.0032091606055893
13600.000000935686,-14127.094960157017,2685.2850628366755,296.70698986533904,10.60193322819149,1.0269371733318333
13700.000000956059,-14194.205074376718,2656.4983672313933,293.52624234641814,10.753613966038612,1.0124521277773302
13800.000000976432,-14183.167235957997,2680.098632625471,296.1339221797476,11.087214297721035,0.981988716809571
13900.000000996804,-14245.120704217741,2719.840147042486,300.5251077855343,10.904228864981805,0.9984676106878444
14000.000001017177,-14233.27324589451,2764.038250232302,305.4087182210516,10.788457936573689,1.0091821653493493
14100.00000103755,-14301.630627430524,2730.059631789981,301.65429611617685,10.885750068506587,1.0001625310790792
14200.000001057922,-14240.66239759155,2586.3264441294427,285.7726893382889,10.804660546656995,1.0076688012730255
14300.000001078295,-14219.363977992507,2850.0386827297866,314.9112212538173,11.020782801322952,0.9879079859830695
14400.000001098668,-14256.465840212753,2596.5457342456243,286.90185616340426,11.183337974363718,0.9735482703080213
14500.00000111904,-14175.06515867557,2879.742717915061,318.19332898556274,11.080229866127137,0.9826077141680556
14600.000001139413,-14033.273282079972,2756.158091721966,304.53801062146675,11.136500603720197,0.9776427738507718
14700.000001159786,-14515.27814621084,2709.9837506860044,299.43603842216396,10.48516147687002,1.0383740264972912
14800.000001180159,-14255.757007893873,2669.2685213748373,294.93726348843984,10.863717045537538,1.0021909900243626
14900.000001200531,-14323.842012312656,2723.2489488063625,300.90175878784504,10.98626837060414,0.9910115950146863
15000.000001220904,-14278.688853404885,2627.907612591843,290.3671450630489,10.933291043932838,0.9958135475825981
15100.000001241277,-14331.791880740886,2674.8383781012576,295.5526973751989,10.738406508487849,1.0138859366709667
